type,commenter,comment,source_index,date_time,ip
→,chiahua7308,還在想是不是藏在那邊了...,22,02/01 17:08,
推,podoioco,app顯示利率應該不難吧，為什麼都不做，或是像ileo bank,22,02/01 17:46,
→,podoioco,ee一樣每天累積多少利息也可以吧。,22,02/01 17:46,
推,awin519,都不會顯示..王道顯示的是牌告利率,22,02/01 18:32,
推,YIHE,舊戶2%活動寫只到3/29 20:00，你的時間點有些尷尬，看活動,22,02/01 18:34,
→,YIHE,會延還是縮,22,02/01 18:34,
推,abccbaandy,不顯示利率真的很糟，不過大部分銀行都是這樣...,22,02/01 19:02,
→,chiahua7308,仔細想想好像真的有些銀行也是沒顯示利率,22,02/01 19:14,
→,chiahua7308,不過台新，華南，永豐都有顯示啊,22,02/01 19:14,
→,chiahua7308,YIHE大大我就到時候看運氣囉,22,02/01 19:14,
→,DFIGHT,我也有疑問感謝大大 話說王道要這個月有五萬的錢進出下個,22,02/02 14:31,
→,DFIGHT,月才可以有跨堤 要不會被收手續費 我剛拿到卡以為有轉十,22,02/02 14:31,
→,DFIGHT,萬進去 結果人生第一次跨堤手續費貢獻給王道了 剛剛二月,22,02/02 14:31,
→,DFIGHT,初才看到有三次跨堤 唉,22,02/02 14:31,
推,tnleeangel,請問newnew bank 的是不是也沒顯示利率?,22,02/02 23:49,
推,BabyWolf,咦 但是我12月開戶才有5萬以上的盡出 1月只有一筆利息轉,22,02/03 00:59,
→,BabyWolf,出 剛剛看2月還是顯示3次跨提啊,22,02/03 00:59,
推,now99,檢查局不用處分？,23,02/01 18:35,
→,now99,檢查局兩、三年一檢，十年掏空查不出來？,23,02/01 18:35,
推,Takadanobaba,董事長用公司錢自己爽，連罰金也是公司繳，還可以,23,02/01 19:20,
→,Takadanobaba,放假三個月，厲害了,23,02/01 19:20,
推,edith938271,我下一張卡使用：招待所跟名車,23,02/01 20:20,
→,zvc798,金管會是金管會 調查局應該會另外處理他們吧,23,02/01 20:58,
噓,LTpeacecraft,看有沒有起訴背信等刑法比較重要,23,02/02 11:06,
推,ajax4444,一樓是看不懂中文，還是沒看內文,23,02/02 11:52,
推,i23421713,應該是以上皆是,23,02/02 16:42,
→,pippen2002,因為最後常常不了了之啊!你看看股價?潮爽?,23,02/02 20:35,
→,pippen2002,好奇˙!!挪用10E? 以後怎麼還?他有錢嗎??,23,02/02 20:36,
→,wcs516,不能解任他嗎？,23,02/02 23:59,
→,ivanami,你參加的是7/1~1/20這一檔1.8%，時間到了就變舊戶1.5%，,25,01/24 12:38,
→,ivanami,所以，每檔期得越早開戶享受越久，畢竟它寫明新戶1.8%固,25,01/24 12:38,
→,ivanami,定給多久...,25,01/24 12:38,
→,ivanami,"""沒""寫明固定給多久",25,01/24 12:39,
→,IMNPUS,蛤，原來還有這樣？！,25,01/24 12:46,
噓,kkkk1234,活動規則寫的清清楚楚,25,01/24 12:50,
→,h22112603,看起來沒問題啊 活動說明最後一個區間到2024/1/20,25,01/24 12:51,
→,Kenhon,規則要看清楚,25,01/24 12:59,
→,alex1973,樓主是請大家參加閱讀測驗嗎？自己引言的內容都不看，,25,01/24 13:01,
→,alex1973,銀行完全遵照自己寫的所有規則執行到最後了，自己不看,25,01/24 13:01,
→,alex1973,還怪銀行？,25,01/24 13:01,
噓,tequila2,喔,25,01/24 13:29,
噓,eXcFerGodSt,你看得懂中文嗎,25,01/24 13:37,
噓,huts20,你看得懂中文嗎？,25,01/24 13:44,
噓,finhisky,,25,01/24 14:01,
噓,az61007,,25,01/24 14:05,
推,fastfu,你自己要在活動尾聲時才辦…,25,01/24 14:32,
→,buffon,人家白紙黑字寫得清楚 你看不清楚說人沒誠信,25,01/24 14:33,
噓,ghytrfvbnmju,笑死,25,01/24 14:40,
→,abobstar,規則要看清楚啊~~~,25,01/24 14:57,
→,basterds,XDD,25,01/24 15:16,
噓,hydroer,？,25,01/24 16:29,
噓,windsson,笑死,25,01/24 16:37,
噓,ryo166,要不要自己刪掉啊…,25,01/24 19:29,
推,DFIGHT,#1bdjczj8 (Bank_Service),25,01/24 20:01,
推,DFIGHT,你看要不要王道銀行,25,01/24 20:05,
推,DFIGHT,他的利率很扯== 兩個月6.66我覺得和股票差不多惹,25,01/24 20:07,
推,YIHE,最後一句別打出來，其實還是有同情票。,25,01/24 20:42,
噓,horusli,快銷戶,25,01/24 21:09,
噓,zzzz903,好喔,25,01/25 01:02,
噓,ayen0422,規則寫得很清楚，卻說銀行沒誠信？,25,01/25 04:11,
推,LTpeacecraft,幫你，我也衝太快,25,01/25 05:29,
推,luckycan,幫推，我有注意到，所以我辦到一半停止了，21才重辦,25,01/25 11:35,
噓,BaekJiHeon,蛤？？？？,25,01/25 13:41,
→,pippen2002,15萬1.8%基底??是多窮?,25,01/25 21:58,
→,amalia82453,可憐,25,01/30 22:34,
→,cityport,你點申請..第一頁就看的到,26,01/24 14:19,
→,cityport,will not be charged a Monthly Service Fee for at,26,01/24 14:20,
→,cityport,least the first two statement periods.,26,01/24 14:20,
→,void,噢 我看到了 抱歉 真的非常感謝,26,01/24 14:46,
→,peter98,條款有寫吧!?,26,01/25 10:58,
→,peter98,喔~已經有人回了 XD,26,01/25 10:58,
→,tomsawyer,問就是換一間,27,01/24 15:24,
推,Go2,因為去年暑假永豐一堆被盜刷，很多銀行跟進不給email或者要,27,01/24 15:33,
→,Go2,另外申請,27,01/24 15:33,
推,SilentBob,很多家有做動態otp了，有網路即可,27,01/24 15:57,
推,liumang,網路用漫遊也可以應該解決這個問題,27,01/24 16:15,
推,alloc,漫遊就能收了 收簡訊不會計費,27,01/24 16:47,
推,runrunkaka,國泰跟台新我之前出國都可以改成email,27,01/24 17:20,
推,iamhsg,可惜中華易付卡無法漫遊收簡訊QQ,27,01/24 17:49,
推,gottsuan,無解 台灣因為無腦被詐的人太多 很多金融服務限制 變的,27,01/24 20:05,
→,gottsuan,不方便,27,01/24 20:05,
推,repast,可以致電客服說除了手機簡訊收otp驗證碼以外，也想用emai,27,01/24 21:48,
→,repast,l收驗證碼。另外某些銀行的app也能收otp驗證碼，例如華南,27,01/24 21:48,
→,repast,銀行+,27,01/24 21:48,
→,invidia,出國什麼情況會需要刷卡OTP？,27,01/25 00:43,
推,ablecoxjoe,逛國內網購阿..,27,01/25 01:05,
噓,HOLAHOJIAN,漫遊收簡訊不用錢不是常識嗎,27,01/25 01:09,
推,andy0055,題外話：前陣子mail 收 OTP 被攔截盜刷案子很多，所以,27,01/25 08:44,
→,andy0055,很多銀行都取消mail發送OTP。,27,01/25 08:44,
→,andy0055,給你參考一下。如樓上提到的，國外收簡訊不用錢喔。,27,01/25 08:44,
推,wadadihaga,住在國外的人啊….,27,01/25 09:54,
→,wadadihaga,臨時改行程要買機票的人啊….,27,01/25 09:54,
推,tonyian,新光自己廢物，中信/玉山都有銀行app的OTP了,27,01/25 09:55,
推,windsson,出國網路用ESIM，原號碼可正常收簡訊,27,01/25 11:56,
推,fatalfeel2,給email 太危險了!!! 隨便被駭你就立馬破產,27,01/25 14:41,
推,uniy,中信app可收好用,27,01/25 15:01,
推,awin519,華南可以用app收驗證碼,27,01/25 18:32,
推,wtfconk,"中信可以直接APP收,但要先完成認證",27,01/25 23:20,
→,wtfconk,"臺銀的話有Safe Go,也算是比較方便的",27,01/25 23:22,
推,mainsa,刷實體卡哪裡需要OTP了？,27,01/26 11:30,
推,kmfan1978,用手機號碼好像相對安全一點才會這樣,27,01/26 14:18,
噓,donaldmusk,要出國就把漫遊設好,27,01/27 07:42,
→,donaldmusk,台新可以email OTP,27,01/27 07:42,
→,donaldmusk,不過真收不到的話你可以打給客服說明你在國外,27,01/27 07:43,
→,donaldmusk,問這什麼智障懶趴問題 有能力出國就要有常識,27,01/27 07:43,
推,john668,如果我有訊號可以打給客服 我還需要擔心收簡訊問題嗎,27,01/27 12:41,
→,john668,在郵輪上只有網路怎辦? 或我就是不想漫遊不行嗎?,27,01/27 12:42,
→,iambackhaha,不想漫遊就不要收簡訊,27,01/27 15:54,
噓,HOLAHOJIAN,樓上不知道有網路就可以用Skype 打0800嗎,27,01/27 17:54,
→,HOLAHOJIAN,沒常識嗎,27,01/27 17:54,
噓,donaldmusk,漫遊就是解決出國收簡訊的方法 辦法放你面前不用怪誰,27,01/27 18:16,
→,donaldmusk,中國移動有個app可以網路收簡訊 台灣應該跟進一下,27,01/27 18:17,
→,donaldmusk,台新可以email收OTP 只是現在默認關掉 要請客服開,27,01/27 18:27,
推,chris44099,中信app收驗證碼就很好了，真的很方便,27,01/29 18:02,
推,Or3,原來台新現在關掉了 謝謝告知,27,01/31 10:35,
推,iamhsg,有蝦皮的fu,28,01/24 16:46,
→,alex1973,實在不願意承認竟然是來往超過20年的老骨頭,28,01/24 17:31,
推,iamhsg,20年老骨頭參上+1,28,01/24 17:42,
→,iamhsg,https://i.imgur.com/n5KRiVd.jpg,28,01/24 17:43,
推,hr07,機器人太空島報到,28,01/24 17:57,
推,iamhsg,題外話，剛信箱收到家樂福年度回饋，484最近很流行這種的,28,01/24 18:14,
→,iamhsg,啊？XD,28,01/24 18:14,
推,ruby02162000,28年11個月XD 但我今年30歲,28,01/24 19:06,
推,essc6402xyz,聽在大樹的朋友說 如果有出鑽石富豪島超稀有 不知道,28,01/24 20:20,
→,essc6402xyz,版上有沒有,28,01/24 20:20,
推,j83519j,蠻好玩的回顧 光國泰持卡人一年就刷6800億 好猛= =,28,01/24 21:08,
推,sggs,19年…,28,01/24 21:39,
推,BabyWolf,25年orz 我飛船巡航島,28,01/24 21:45,
推,hi4549884d,感謝分享 那有鑽石富豪島會有獎嗎? 我沒有但家人有,28,01/24 22:06,
推,mx5021,火山溫泉島 奈米戶 8年,28,01/25 00:18,
推,taco20,去年樹精靈也有類似的,28,01/25 07:36,
推,a82412,火山，5年9個月，剛好是這份工作的年資,28,01/25 07:45,
推,blackZ2,闇影忍者島 好中二的島,28,01/25 15:01,
推,jru8503,忍者+1,28,01/26 10:35,
推,cs123,我是機器人太空島。,28,01/26 11:37,
推,backmall,感謝分享,28,01/26 15:19,
推,FireSunFire,國泰世華 近2年的回顧，蠻有創意的！又可以看一些統,28,01/26 23:15,
→,FireSunFire,計數據,28,01/26 23:15,
推,YIHE,原來臨櫃時，桂圓的銀幕端都在看這些打量客戶嗎？,28,01/30 18:46,
→,amalia82453,唉唉國泰 想到就嘔,28,01/30 22:33,
→,alex1973,這文是不是複製貼上都不完整，唸都唸不順,29,01/24 18:03,
→,alex1973,啊，原來是 AI 的創作文，還沒學好人類語法的 AI,29,01/24 18:04,
→,fatalfeel2,一個不懂AI的人在說別人不懂AI,29,01/24 18:05,
→,fatalfeel2,Loss function & forward & backward 先學好再說,29,01/24 18:06,
→,fatalfeel2,個人作品: https://reurl.cc/aLqylG,29,01/24 18:07,
→,fatalfeel2,很懷疑是銀行相關人員來酸的 為什麼大家自己想,29,01/24 18:09,
→,alex1973,你貼的網頁我能看懂理解，但是你貼文這些文字，說實話,29,01/24 18:13,
→,alex1973,你自己再補充一下會比較好，我都不知道貼文這些簡短的,29,01/24 18:13,
→,alex1973,文字怎麼連貫起來看懂,29,01/24 18:13,
噓,ghytrfvbnmju,內文真的看不懂在說啥,29,01/24 18:39,
噓,WindT,不就是P2P，別鬧了,29,01/24 18:49,
噓,ghytrfvbnmju,我說的內文是指你的文字，連想要表達的東西都沒辦法,29,01/24 18:55,
→,ghytrfvbnmju,清楚的表達給別人知道,29,01/24 18:55,
→,gottsuan,p2p貸款在中國已經驗證失敗了,29,01/24 20:03,
噓,mx5021,呵,29,01/24 20:16,
→,bailan,????????????,29,01/24 20:22,
→,james4141989,台灣也有啊，imb詐騙不就是個例子,29,01/24 20:40,
→,snowoffish,揪派欸,29,01/24 22:03,
→,Kazamatsuri,專業的傲慢？ XD,29,01/24 22:11,
噓,cityport,一堆國家實驗過失敗的東西，你跟世界脫節多久了？,29,01/24 22:35,
噓,seangakki11,西台灣已試驗過一次了，好傻好天真,29,01/24 23:05,
推,maypcc,台灣不是有LnB和鄉民貸,29,01/25 05:53,
→,sgxm3,利息極低甚至零？但又要求返還本金？到底是p2p捐款還是貸,29,01/25 07:47,
→,sgxm3,款？捐款給誰或哪個團體對行善者而言很重要，p2p怎麼搞？,29,01/25 07:47,
→,sgxm3,低利息投資人不可能投錢。然後組織沒錢怎麼運作？,29,01/25 07:47,
噓,eXcFerGodSt,你知道逗號怎麼用嗎,29,01/25 08:33,
噓,andy0055,???? 作者有必要這麼派嗎？吃到炸藥？,29,01/25 08:36,
噓,eXcFerGodSt,他的意思就是用鏈上合約 然後要我們免費捐款給那些想,29,01/25 08:38,
→,eXcFerGodSt,借錢的人啦,29,01/25 08:38,
噓,ARui,真假，老哥。你內文是 ChatGPT 跟 Web3，然後你貼一個 RL,29,01/25 11:53,
→,ARui,的 PPO 上來說你就是專業的是想表達什麼？可以開導我一下嗎,29,01/25 11:53,
→,lf2net4589,我記得P2P2借款就是借了不用還,29,01/25 11:55,
→,dowbane,內文就真的難以閱讀啊,29,01/25 12:09,
噓,blackZ2,請問這跟P2P的差異在哪裏？,29,01/25 15:03,
噓,jakai,im.B投資詐騙案~~,29,01/25 15:13,
噓,willieliu,原po確實應該怪一下自己 就如同他自己說的一樣,29,01/25 15:57,
→,aa85720tw,在學財務知識時覺得學好基礎縮寫使用應該更實用,29,01/25 17:18,
噓,swattw,奇文共賞,29,01/25 18:10,
噓,ivanami,不僅財務知識，曾經還在此銀行版說要教寫程式，超驚嚇！,29,01/25 19:44,
噓,cp296633,林北defi流動性挖礦玩到賺百萬 ftx一次賠掉^o^,29,01/25 20:34,
→,cp296633,林耶工啥姣 要放貸我直接丟aave不就好惹..,29,01/25 20:34,
→,cp296633,defi無抵押貸款有啦 叫做閃電貸 學會後合法搶銀行 加油,29,01/25 20:49,
噓,ayen0422,此為AI推文,29,01/25 21:26,
噓,sephiroth323,晶晶體寫得都比你好zzZ,29,01/26 14:23,
噓,carlosalex,你Lazy查證？這什麼文法？程度真高給推！,29,01/26 23:51,
噓,jamison04,講話都不會的嗆別人財經知識 笑死,29,01/27 23:21,
噓,doll1324,.,29,01/29 21:45,
→,eXcFerGodSt,要不要先說是哪家,30,01/25 08:35,
推,BabyWolf,臨櫃通常是這樣算 但ATM可以吃歐元的不多吧  也不吃跨行,30,01/25 11:25,
→,catuncle1,ATM可以存外幣現金嗎？外幣現金不都是要臨櫃嗎？,30,01/25 11:57,
→,Ailin,有些ATM可以存外幣喔,30,01/25 12:16,
→,ewayne,...外幣ATM這玩意，應該不是啥新鮮事...,30,01/25 12:38,
→,enjoyyou,能存入也是存進外幣帳戶 要直接換臺幣要臨櫃買入,30,01/25 12:49,
推,BabyWolf,有些外幣ATM可以存本行外幣帳戶 但美元日圓為主,30,01/25 12:52,
→,Kazamatsuri,還不如找時間臨櫃存 XD,30,01/25 14:13,
推,youngsam,台新可以存歐元,30,01/26 05:11,
推,abluelos,現鈔存外幣帳戶手續費1000*0.4是對的,30,01/27 16:50,
→,abluelos,不過也有按次收的 台新100元/次,30,01/27 16:50,
推,Klauhal,建議從離家近的開始找,31,01/25 12:17,
→,Klauhal,應該說離公司/辦公室近的,31,01/25 12:18,
→,tsainan,小公司開戶...應該沒啥減免能談吧?,31,01/25 12:26,
→,tsainan,願意給你開就不錯了 上次開戶被拒絕過,31,01/25 12:26,
推,Klauhal,你金額少優惠很難談，不如距離近的大銀行,31,01/25 12:32,
→,bfl821002,第一銀行iLEO數位帳戶可以供商行（獨資戶）開立，優惠,31,01/25 12:44,
→,bfl821002,與個人戶開戶相同 供參。,31,01/25 12:44,
推,Kazamatsuri,現在臨櫃實體戶很多都要有地緣關係才比較好開,31,01/25 14:12,
推,dbdudsorj,同樓上 這不是你想開誰就能開 你只能先找公司登記地附,31,01/25 15:49,
→,dbdudsorj,近的 不然第一關就把你打槍的可能性很大,31,01/25 15:49,
推,dryat,商號等同個人，建議你挑個帳戶獨立用就好了。我遇過銀行一,31,01/25 21:20,
→,dryat,下說商號帳戶等同法人不能有個人戶的優惠，要辦業務時又說,31,01/25 21:20,
→,dryat,商號帳戶等同個人要負責人臨櫃親辦，非常麻煩,31,01/25 21:20,
推,hackshield,找離公司近的 然後別選外商銀行 他們都只收超大戶而,31,01/26 00:01,
→,hackshield,已,31,01/26 00:01,
→,andieschen,小公司奈米戶沒貢獻只會增加銀行工作量 隨便找間離家,31,01/26 06:28,
→,andieschen,近的就行,31,01/26 06:28,
推,Athanasius,離公司近的就好。你看整路都銀行的，附近一堆中小企業,31,01/26 07:47,
→,Athanasius,他們主要吸收中小企客戶，是為了其員工薪轉戶一起帶動,31,01/26 07:48,
→,Athanasius,培養並了解其企業金流，以便之後企業放款之可能,31,01/26 07:50,
推,twtrees,不要元大，之前社區帳戶用他，很麻煩。,31,01/26 08:20,
推,zebraandcows,離家近的就可以了吧,31,01/26 15:09,
推,c3d,看地緣，離家近,31,01/28 09:54,
→,lingerptt,台銀新光都可以 小交易友善控管可以,31,01/28 16:34,
推,tewyliu0120,包包有獎?,32,01/25 15:09,
推,ravi0,目前是不是只有將來在發紅包,32,01/25 15:24,
推,alag,感覺很難抽到吧,32,01/25 15:35,
噓,edison901,抽的？刪文了吧,32,01/25 15:45,
→,mx5021,推薦還用抽得 是不是虧損很大,32,01/25 15:48,
推,plmo,有大包 讚喔,32,01/25 15:52,
→,openeyes222,智力測驗,32,01/25 15:53,
推,yvonne1124,新戶越來越大包...,32,01/25 16:31,
推,jc761128,早加入都血虧,32,01/25 17:04,
推,zyli,沒忘記舊戶就好,32,01/25 17:17,
推,r0942462488,剛邀一個，哭,32,01/25 19:24,
推,LoveMakeLove, 回饋越來越縮水,32,01/25 19:31,
→,stocktonty,推薦得了那麼多我就去賣直銷了還需要玩這個,32,01/25 19:46,
噓,pippen2002,包包有獎，限量5000包??笑死人?,32,01/25 21:57,
→,redorange,給部落客、YTer的紅包,32,01/25 23:09,
推,s562855,昨天好像就有看到了 本來要發忘記XD,32,01/25 23:55,
推,Anadyomene,5000包紅包是舊戶抽？然後新戶保底一個紅包？,32,01/26 12:12,
→,Anadyomene,還是新戶也是要抽？這樣的話就沒啥吸引力了,32,01/26 12:13,
→,Anadyomene,自問自答：看來是新舊戶都是抽...,32,01/26 12:42,
→,ruby0922,包包有獎還行吧,32,01/26 14:01,
推,cute781108,我也覺得還行 最少也有88N啦,32,01/26 14:17,
推,hyuckkimo,樓上抱怨的 是不是忘記邀請禮200N無上限,32,01/26 14:31,
推,a82412,剛好剛開而已,32,01/28 10:00,
→,prussian,看賣身契簽了什麼東西啊,33,01/26 12:08,
推,watertip,授信目的跟科目不同？,33,01/26 12:32,
→,WindT,正常。有的拆更小，有的銀行五萬九十五萬，主要是呆帳先用,33,01/26 12:33,
→,WindT,小額那筆處理,33,01/26 12:33,
推,cytochrome,有送信保？,33,01/26 12:56,
→,abracadabra,可能是依信保基金保證的成數去拆分,33,01/26 12:59,
→,cytochrome,貸款帳號科目應該看得出來差別,33,01/26 13:29,
推,kiwidogdog,信保保七成吧,33,01/26 22:55,
推,im33024,跟呆帳無關 就只是有送信保7成而已  70萬算有擔保 30萬,33,01/28 03:12,
→,im33024,算無擔保 科目不同,33,01/28 03:12,
噓,canlest,ya,34,01/26 13:23,
推,cytochrome,其實利率很高，而且額度也偏低，但就是短期應急可用,34,01/26 13:29,
→,tomsawyer,11%利率你怎麼不提,34,01/26 13:32,
推,kei1823,利率真的有的高….這跟高利貸已經差沒多少了,34,01/26 13:34,
推,YIHE,借高額信貸來抽股票@@？,34,01/26 13:41,
→,Klauhal,11%也要借= =,34,01/26 14:08,
→,concertotc,11%........,34,01/26 14:09,
推,kmfan1978,不用上傳財力證明真的很方便耶,34,01/26 14:19,
推,ghytrfvbnmju,他只借四天啊，算起來利息就100元，抽股票也是要付2,34,01/26 14:30,
→,ghytrfvbnmju,0元,34,01/26 14:30,
→,mx5021,盤,34,01/26 14:51,
推,hyscout,我記得永豐有抽股票專用的貸款耶 應該比這個好,34,01/26 14:57,
→,hyscout,查到了 申購便利通,34,01/26 14:57,
→,llth99,沒中的成本就要多100塊，那抽中要多花多少利息?,34,01/26 15:15,
推,backmall,備用金也有R幣任務，不在意被拉聯徵的話可以申請拿70R,34,01/26 15:23,
推,stocktonty,要抽股票還不如用京城銀那個 連弄錢出來都不用,34,01/26 15:36,
噓,pchome0503,11%………………,34,01/26 16:47,
噓,LTpeacecraft,這個都不好用，大額申購都不開放，永豐就是這樣,34,01/26 16:50,
→,LTpeacecraft,以中籤率來說借這個不划算...,34,01/26 16:50,
推,darklesser,是申請了就要開始付利息嗎?,34,01/26 17:06,
推,jimmy0525,之前有辦過永豐的 拿來第一抽就中了,34,01/26 17:59,
→,robrob99,有要準備房貸的人不要去碰備用金 就算沒動用也會被銀行,34,01/26 19:32,
→,robrob99,列入貸款中款項,34,01/26 19:32,
噓,kawazima8869,11%到底誰會借,34,01/26 19:53,
噓,ex250203,第一次看到有人在板上po文推薦高利貸,34,01/26 19:56,
→,newforte,linkbank應該利息更低,34,01/26 20:56,
噓,WindT,利率太高，不划算。中籤率來看20元手續費都不一定划算了,34,01/26 21:02,
推,premh104,11%，推起來…,34,01/26 22:01,
推,pk0943,2%我才願意借,34,01/27 08:59,
噓,dip987,連抽股票的錢都沒有，也太慘,34,01/27 15:39,
推,eddy13,推丟西瓜撿芝麻的經驗分享,34,01/29 10:48,
→,operatorm,"宰肥羊,剝皮寮",35,01/26 15:04,
→,operatorm,"你不是vip,$_$沒擺10萬美↑,6%不擺點嗎",35,01/26 15:05,
→,operatorm,剝皮店到店☺,35,01/26 15:06,
推,kutkin,防制洗錢,35,01/26 15:35,
→,kutkin,美國的規定,35,01/26 15:35,
推,BabyWolf,應該有一陣子聽說不能加發電報省錢了 不過其他銀行還是,35,01/26 15:37,
→,BabyWolf,有提供VIP全額到行 應該就是非此機制而自行吸收 非VIP就,35,01/26 15:37,
→,BabyWolf,得花比較多的手續費,35,01/26 15:37,
推,z820410,我們家是全額到行 兩通電報,35,01/26 20:20,
推,sherry2323,請問哪一家銀行或分行可以兩封電報全額到行及能匯IB？,35,01/26 22:03,
→,sherry2323,昨天去中信說即使VIP全額到匯也要35美元，而且堅持不,35,01/26 22:03,
→,sherry2323,讓我匯IB，說他們列警示户。,35,01/26 22:03,
→,cityport,哦..中信自己才是警示戶吧..一堆分行被搜索,35,01/26 22:11,
推,visionaryou,借串問，現在中信還可以約定海外證卷戶嗎?,35,01/26 22:14,
→,visionaryou,之前問文字客服是回我，好像要看分行自己的決定。,35,01/26 22:14,
推,z820410,@sherry2323 聯邦,35,01/26 22:38,
推,eXcFerGodSt,遠離中信,35,01/26 23:07,
推,LazyICE,有可能美國銀行非配合銀行所以不能減免，我之前在別家銀,35,01/27 00:13,
→,LazyICE,行遇上類似情況，行員也是建議先多匯USD30～35沒錯，等,35,01/27 00:13,
→,LazyICE,確認美方收到的金額後，算出實際會被扣的費用Y，以後就,35,01/27 00:13,
→,LazyICE,多匯Y就好，總之要先被宰一次就是了,35,01/27 00:13,
→,slchao,都臨櫃了，可以改用匯票+手機app拍照上傳，開立名字是自己,35,01/27 01:14,
→,slchao,，就不會擋了,35,01/27 01:14,
→,cityport,沒錯..匯票直接存才是正解,35,01/27 01:46,
推,z820410,會票匯不確定別家怎麼做，但我們這會變成客人要來兩趟,35,01/27 08:59,
推,imret,中信約定轉帳只讓辦戶名是你名字的，嘉信FT都不讓,35,01/27 09:21,
→,firmament,美國的收益銀行有都收兩通嗎？很多都只能一通103走OUR,35,01/27 13:58,
→,firmament,以全額到吧？,35,01/27 13:58,
推,slchao,台中的中信匯票，要臨櫃2次，第二次不用領號碼牌，前一個,35,01/27 15:45,
→,slchao,辦完的空檔給收據就可以領,35,01/27 15:45,
→,slchao,曾經看過推文，某些縣市可以當場領,35,01/27 15:45,
推,e86207,112/12 匯嘉信  收中轉25鎂 有vip,35,01/27 16:07,
→,e86207,渣打臨櫃匯 沒有被收任何費用,35,01/27 16:07,
→,e86207,渣打 要臨櫃 匯IB 嘉信都沒費用,35,01/27 16:09,
→,e86207, 有VIP,35,01/27 16:09,
推,ghost951852,國泰全額到匯800 線上就能約定了,35,01/27 20:44,
推,joy2105feh,美國本來就不能兩通阿 他沒說錯,35,01/27 20:58,
→,cityport,非DBU不能現場開匯票吧，要去DBU拿所以得跑2趟,35,01/28 03:28,
推,jamupme,美國本土銀行不接受cover payment方式 講好聽是防洗錢,35,01/28 23:14,
→,jamupme,實際上就是美國人要賺美元清算費,35,01/28 23:14,
推,kutkin,是的,35,01/29 19:13,
→,BabyWolf,點進去是虛擬商品卡 無使用期限 讚,36,01/26 15:39,
推,nickliucool,有收到,36,01/26 17:27,
推,tng8713,那你就是百分之十啊,37,01/26 19:13,
噓,IanLi,沒有保證這也能抱怨,37,01/26 19:22,
噓,tuminghsin,誰跟你說的就找他負責啊！,37,01/26 19:23,
→,Oggy,2/1才開始吧,37,01/26 19:36,
推,stevenisaman,推薦客訴很有用,37,01/26 20:05,
噓,mx5021,無言,37,01/26 20:18,
噓,edison901,不想搞事當這你個版？,37,01/26 20:31,
→,alex1973,不是保證的服務，但是你可以先提出，自己不先說就要銀,37,01/26 20:42,
→,alex1973,行達到，沒達成你的預期就來放炮，這是哪招？,37,01/26 20:42,
→,Kazamatsuri,又是妳,37,01/26 21:04,
噓,whocare96,你先把台銀10%以上提款機都領過再來抱怨不到90%新鈔,37,01/26 21:38,
→,whocare96,另外不要選有存款的ATM，不然就會給你前一個存進去的,37,01/26 21:39,
→,s831053,舊鈔也是錢，不想要可以送我。,37,01/26 21:58,
噓,blackyw,去問告訴你有新鈔的人,37,01/26 22:25,
噓,eXcFerGodSt,最近怎麼一堆這種,37,01/26 22:45,
推,zark07222,你媽知道你那麼可憐領不到新鈔嗎？嘻嘻,37,01/26 23:19,
噓,seangakki11,台灣特產,37,01/26 23:28,
推,nsk,之前台南 BOT六甲頂分行也是常常領到舊鈔,37,01/27 00:28,
噓,dip987,然後你就想來這搞事？,37,01/27 00:43,
噓,tequila2,閱,37,01/27 00:50,
噓,ivymorita,有人說~但銀行有說嗎  就算有也不是百分百,37,01/27 02:05,
→,chris1281,紅包來者不拒，原po不喜歡可以給我,37,01/27 07:50,
噓,VisaInfinite,ID,37,01/27 08:16,
噓,operatorm,熊蓋毒,37,01/27 10:07,
→,ssaymssik,自己洗一洗就很新啦,37,01/27 11:59,
→,howzming,我今天在萊爾富國泰atm領到新鈔,37,01/27 15:09,
噓,jtozukken,2/1,37,01/27 17:07,
噓,joy2105feh,雕 誰說要裝新鈔 欠你的?,37,01/27 20:56,
噓,SSDing,舊的不能用，給我好了,37,01/27 21:12,
→,Kazamatsuri,不用跟這位計較啦 科科,37,01/27 21:18,
噓,ridiculousYA,好好笑 2/1是不會去看新聞喔,37,01/28 02:36,
噓,janice01,有人說90%，那你剛好遇到那10%,37,01/28 11:12,
噓,railtrip,還沒開始，你可以再存回去,37,01/28 12:33,
噓,a19851106,笑死,37,01/28 16:39,
噓,ramora28,90%全年提供新鈔依據在哪裡？有公告嗎？有公文嗎？,37,01/28 19:16,
噓,Lonelyprince,中國人看不懂臺灣國的公告，是嗎？,37,01/28 19:59,
→,andy0055,存進去 再領一次？,37,01/28 20:17,
噓,aru1974,ID,37,01/29 15:11,
推,milkteagd,我東門跟信義路三段領得整年都新鈔ㄟ,37,01/29 15:21,
→,luther0583,領兩千元鈔呀，不但新鈔，厚度還少一半,37,01/30 09:55,
推,ORANGECHIA,每家銀行要求不同但對他們來說都是必要 手抄本蠻多家,38,01/27 11:07,
→,ORANGECHIA,都會要求必要 建議還是去戶政申請2-3份備用 多數銀行,38,01/27 11:07,
→,ORANGECHIA,可以影印後留副本正本還你 如果不想多花錢 就一間一間,38,01/27 11:07,
